"Väestö 31.12. muuttujina Maakunta, Kieli, Ikä, Sukupuoli, Vuosi ja Tiedot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<A HREF='https://www.stat.fi/til/vaerak/index.html' TARGET=_blank>Tilaston kotisivu</A>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tekijänoikeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yksikkö:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Väestö 31.12.:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lukumäärä,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virallinen tilasto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sisäinen viitekoodi:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012_11rl_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
